nom,prenom,pdl,telephone,adress,villa,code,title,email,dev_Typed d'Intervention,dev_duree(MIN),dev_maille,dev_contrat,dev_du,dev_au,dev_numero,dev_r_voie,dev_zdd,dev_code postal,dev_commune,dev_note,dev_l_voie,tech_categorie dAbonne,tech_tarif,tech_puissance_souscrite,tech_organe_de_coupure,tech_produkteur,tech_type,tech_matricule,tech_nbfils,tech_num_de_serie,tech_nature,tech_marque,tech_intensite,tech_nbfils,tech_plage,status
Doe,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,13:54,MAILLE,CONTRAT,28-02-2022 12:48,28-02-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407606,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Allaire,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,14:54,MAILLE,CONTRAT,01-03-2022 12:48,01-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407607,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
André,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,15:54,MAILLE,CONTRAT,02-03-2022 12:48,02-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407608,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Arnaud,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,16:54,MAILLE,CONTRAT,03-03-2022 12:48,03-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407609,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Arquette,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,17:54,MAILLE,CONTRAT,04-03-2022 12:48,04-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407610,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Camille,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,18:54,MAILLE,CONTRAT,05-03-2022 12:48,05-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407611,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Zoé,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,19:54,MAILLE,CONTRAT,06-03-2022 12:48,06-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407612,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Adèle,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,20:54,MAILLE,CONTRAT,07-03-2022 12:48,07-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407613,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Agathe,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,21:54,MAILLE,CONTRAT,08-03-2022 12:48,08-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407614,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
Jeanne,joye,123,123456789,Lépaud,France,23170,title,kk@gmail.com,Accessible,22:54,MAILLE,,09-03-2022 12:48,09-03-2022 12:48,12345,VOIE,zdd,110084,COMMUNE,test test,le_voie,non,tariff,6kva,6kva,non,SAGEM ELECTRONIQUE MONO,910,MONOPHASE 230/400V,DB0066407615,DIFF. ORDINAIRE,LOREM IPSUM,0,0,0,active
